datetime,action,price,fee,btc,cash_after
2025-08-27,SELL,111763.22,94.3400428483241,0.0,94245.70280547577
2025-08-29,BUY,112566.9,94.24570280547577,0.8364044590609699,0.0
2025-08-30,SELL,108377.4,90.64734062143435,0.0,90556.69328081292
2025-09-10,BUY,111546.38,90.55669328081292,0.8110181306424475,0.0
2025-09-11,SELL,113960.0,92.42362616801331,0.0,92331.2025418453
2025-09-13,BUY,116029.41,92.3312025418453,0.7949611338996161,0.0
2025-09-16,SELL,115349.71,91.6985362565919,0.0,91606.8377203353
2025-09-24,BUY,111998.8,91.6068377203353,0.8171090304772459,0.0
2025-09-25,SELL,113307.01,92.58418108737561,0.0,92491.59690628822
2025-09-29,BUY,112163.96,92.49159690628822,0.8237860477588517,0.0
2025-10-01,SELL,114048.94,93.95192553368642,0.0,93857.97360815272
2025-10-03,BUY,120529.35,93.85797360815272,0.7779359602830727,0.0
2025-10-04,SELL,122232.21,95.0888316638722,0.0,94993.74283220833
2025-10-14,BUY,115166.0,94.99374283220833,0.8240170631034864,0.0
2025-10-16,SELL,110763.28,91.27083268530914,0.0,91179.56185262384
2025-10-17,BUY,108194.27,91.17956185262385,0.8418965467466181,0.0
2025-10-18,SELL,106431.68,89.60446385644109,0.0,89514.85939258465
2025-10-22,BUY,108297.66,89.51485939258465,0.8257366274875382,0.0
2025-10-23,SELL,107567.45,88.8223833904344,0.0,88733.56100704396
2025-10-25,BUY,111004.9,88.73356100704396,0.7985667970155995,0.0
2025-10-26,SELL,111646.27,89.15700423263883,0.0,89067.84722840619
2025-11-01,BUY,109608.01,89.0678472284062,0.8117908479606353,0.0
2025-11-02,SELL,110098.1,89.37662995785482,0.0,89287.25332789696
2025-11-04,BUY,106583.05,89.28725332789696,0.8368869728776673,0.0
2025-11-07,SELL,101346.04,84.81518062873899,0.0,84730.36544811024
2025-11-12,BUY,103059.0,84.73036544811025,0.821331810736201,0.0
2025-11-13,SELL,101654.37,83.49196778134775,0.0,83408.4758135664
2025-12-03,BUY,91277.88,83.4084758135664,0.9128725090652064,0.0
2025-12-04,SELL,93429.95,85.28963287833677,0.0,85204.34324545844
2025-12-15,BUY,88172.16,85.20434324545845,0.9653743188577095,0.0
2025-12-20,SELL,88136.95,85.085148072446,0.0,85000.06292437355
2025-12-23,BUY,88620.79,85.00006292437355,0.9581844492861007,0.0
2025-12-30,SELL,87237.13,83.58926136634999,0.0,83505.67210498363
2025-12-31,BUY,88485.5,83.50567210498363,0.9427778159458743,0.0
2026-01-01,SELL,87648.21,82.63278799536535,0.0,82550.15520736999
2026-01-03,BUY,89995.14,82.55015520736998,0.9163562060369328,0.0
2026-01-04,SELL,90628.01,83.0475394042772,0.0,82964.49186487292
2026-01-05,BUY,91529.74,82.96449186487293,0.9055147253013943,0.0
2026-01-06,SELL,93859.71,84.99134951751854,0.0,84906.35816800102
2026-01-17,BUY,95550.94,84.90635816800102,0.8877092345698853,0.0
2026-01-19,SELL,93673.14,83.1545114091577,0.0,83071.35689774854
2026-01-20,BUY,92630.99,83.07135689774854,0.8959019604653992,0.0
2026-01-23,SELL,89559.68,80.2366928906538,0.0,80156.45619776314
2026-01-24,BUY,89600.26,80.15645619776313,0.8937061091292077,0.0
2026-01-25,SELL,89225.34,79.74123144713066,0.0,79661.49021568353
2026-01-31,BUY,84260.5,79.66149021568353,0.9444737299857922,0.0
2026-02-01,SELL,78741.1,74.36890042018426,0.0,74294.53151976407
2026-02-19,BUY,66461.0,74.29453151976408,1.1167487246391765,0.0
2026-02-20,SELL,67003.73,74.82633002356773,0.0,74751.50369354416
2026-02-21,BUY,68020.0,74.75150369354417,1.097864630841673,0.0
