datetime,open,high,low,close,volume,ma5,ma20,signal,signal_change,position,equity,equity_curve,market_return,market_curve
2021-05-13,49537.15,51367.19,46000.0,49670.97,147332.002121,54005.85799999999,54950.366,0,-1.0,1,404473.35798323125,4.044733579832313,0.0007988907004690127,6.897931494198586
2021-05-14,49671.92,51483.0,48799.75,49841.45,80082.204306,52325.979999999996,54940.0465,0,0.0,0,404076.6127900169,4.040766127900169,0.0034321858421528795,6.921606477013115
2021-05-15,49844.16,50700.0,46555.0,46762.99,89437.449359,50515.35,54824.8575,0,0.0,0,404076.6127900169,4.040766127900169,-0.061765056995733425,6.494093058458362
2021-05-16,46762.99,49795.89,43825.39,46431.5,114269.812775,48467.64599999999,54446.363,0,0.0,0,404076.6127900169,4.040766127900169,-0.007088725507072957,6.448058215349563
2021-05-17,46426.83,46686.0,42001.0,43538.04,166657.172736,47248.99,53872.66650000001,0,0.0,0,404076.6127900169,4.040766127900169,-0.062316746174472026,6.046236208225405
2021-05-18,43538.02,45799.29,42250.02,42849.78,116979.860784,45884.75199999999,53272.84450000001,0,0.0,0,404076.6127900169,4.040766127900169,-0.015808244927883797,5.950655825353938
2021-05-19,42849.78,43584.9,30000.0,36690.09,354347.243161,43254.479999999996,52429.599,0,0.0,0,404076.6127900169,4.040766127900169,-0.1437507963868193,5.095244311435444
2021-05-20,36671.23,42451.67,34850.0,40526.64,203017.596923,42007.21,51571.2175,0,0.0,0,404076.6127900169,4.040766127900169,0.10456638291157105,5.628035579133007
2021-05-21,40525.39,42200.0,33488.0,37252.01,202100.888258,40171.312,50543.7995,0,0.0,0,404076.6127900169,4.040766127900169,-0.08080191202626219,5.1732795433872285
2021-05-22,37263.35,38829.0,35200.62,37449.73,126542.243689,38953.65,49587.3755,0,0.0,0,404076.6127900169,4.040766127900169,0.005307633064632,5.200737412944295
2021-05-23,37458.51,38270.64,31111.01,34655.25,217136.046593,37314.744,48461.6685,0,0.0,0,404076.6127900169,4.040766127900169,-0.07461949658916112,4.812661005297976
2021-05-24,34681.44,39920.0,34031.0,38796.29,161630.893971,37735.984000000004,47741.4825,0,0.0,0,404076.6127900169,4.040766127900169,0.1194924289970496,5.3877375587604135
2021-05-25,38810.99,39791.77,36419.62,38324.72,111996.228404,37295.600000000006,46785.913,0,0.0,0,404076.6127900169,4.040766127900169,-0.012155028225637077,5.322249456661356
2021-05-26,38324.72,40841.0,37800.44,39241.91,104780.773396,37693.58,45928.3245,0,0.0,0,404076.6127900169,4.040766127900169,0.023932073084943717,5.4496219196344775
2021-05-27,39241.92,40411.14,37134.27,38529.98,86547.158794,37909.630000000005,44989.085999999996,0,0.0,0,404076.6127900169,4.040766127900169,-0.018142083298188116,5.350754424824837
2021-05-28,38529.99,38877.83,34684.0,35663.49,135377.62972,38111.278000000006,43829.157999999996,0,0.0,0,404076.6127900169,4.040766127900169,-0.07439635317744797,4.952677808869776
2021-05-29,35661.79,37338.58,33632.76,34605.15,112663.092689,37273.05,42647.3735,0,0.0,0,404076.6127900169,4.040766127900169,-0.029675727193272383,4.805703493337583
2021-05-30,34605.15,36488.0,33379.0,35641.27,73535.386967,36736.36,41638.63,0,0.0,0,404076.6127900169,4.040766127900169,0.029941208172771905,4.949592062048221
2021-05-31,35641.26,37499.0,34153.84,37253.81,94160.735289,36338.74,40667.8195,0,0.0,0,404076.6127900169,4.040766127900169,0.04524361786210207,5.173529513876824
2021-06-01,37253.82,37894.81,35666.0,36693.09,81234.66377,35971.361999999994,40020.908,0,0.0,0,404076.6127900169,4.040766127900169,-0.015051346426043444,5.095660928918104
2021-06-02,36694.85,38225.0,35920.0,37568.68,67587.372495,36352.4,39415.7935,0,0.0,0,404076.6127900169,4.040766127900169,0.02386253106511349,5.217256296131697
2021-06-03,37568.68,39476.0,37170.0,39246.79,75889.106011,37280.727999999996,38886.0605,0,0.0,0,404076.6127900169,4.040766127900169,0.044667792427096176,5.450299617406268
2021-06-04,39246.78,39289.07,35555.15,36829.0,91317.799245,37518.274,38389.361,0,0.0,0,404076.6127900169,4.040766127900169,-0.06160478347401155,5.114535089607466
2021-06-05,36829.15,37925.0,34800.0,35513.2,70459.62149,37170.152,37843.445999999996,0,0.0,0,404076.6127900169,4.040766127900169,-0.03572728013250437,4.931806661713537
2021-06-06,35516.07,36480.0,35222.0,35796.31,47650.206637,36990.796,37456.359500000006,0,0.0,0,404076.6127900169,4.040766127900169,0.007971965353727573,4.971122853552
2021-06-07,35796.31,36900.0,33300.0,33552.79,77574.952573,36187.617999999995,36991.509999999995,0,0.0,0,404076.6127900169,4.040766127900169,-0.06267461646186423,4.659559635320821
2021-06-08,33556.96,34068.01,31000.0,33380.81,123251.189037,35014.422,36826.046,0,0.0,0,404076.6127900169,4.040766127900169,-0.00512565423024447,4.635676343764962
2021-06-09,33380.8,37534.79,32396.82,37388.05,136607.597517,35126.232,36669.116500000004,0,0.0,0,404076.6127900169,4.040766127900169,0.12004621817145855,5.192171757500841
2021-06-10,37388.05,38491.0,35782.0,36675.72,109527.284943,35358.736,36640.302,0,0.0,0,404076.6127900169,4.040766127900169,-0.0190523442650794,5.093248713693512
2021-06-11,36677.83,37680.4,35936.77,37331.98,78466.0053,35665.87,36634.4145,0,0.0,0,404076.6127900169,4.040766127900169,0.017893581911957,5.184385176749957
2021-06-12,37331.98,37463.63,34600.36,35546.11,87717.54999,36064.534,36678.957500000004,0,0.0,0,404076.6127900169,4.040766127900169,-0.047837537682169584,4.936376955498299
